Ozone,Solar.R,Wind,Month,Day,Year,Temp,Weather
41,190,7.4,5,1,2010,67,S
36,118,8,5,2,2010,72,C
12,149,12.6,5,3,2010,74,PS
18,313,11.5,5,4,2010,62,S
NA,NA,14.3,5,5,2010,56,S
28,NA,14.9,5,6,2010,66,C
23,299,8.6,5,7,2010,65,PS
19,99,13.8,5,8,2010,59,C
8,19,20.1,5,9,2010,61,PS
NA,194,8.6,5,10,2010,69,S
7,NA,6.9,5,11,2010,74,C
16,256,9.7,5,12,2010,69,PS
11,290,9.2,5,13,2010,66,S
14,274,10.9,5,14,2010,68,S
18,65,13.2,5,15,2010,58,C
14,334,11.5,5,16,2010,64,S
34,307,12,5,17,2010,66,S
6,78,18.4,5,18,2010,57,C
30,322,11.5,5,19,2010,68,PS
11,44,9.7,5,20,2010,62,S
1,8,9.7,5,21,2010,59,S
11,320,16.6,5,22,2010,73,C
4,25,9.7,5,23,2010,61,PS
32,92,12,May,24,2010,61,C
NA,66,16.6,5,25,2010,57,PS
NA,266,14.9,5,26,2010,58,C
NA,NA,8,5,27,2010,57,PS
23,13,12,5,28,2010,67,S
45,252,14.9,5,29,2010,81,S
115,223,5.7,5,30,2010,79,C
37,279,7.4,5,31,2010,76,PS
NA,286,8.6,6,1,2010,78,S
NA,287,9.7,6,2,2010,74,C
NA,242,16.1,6,3,2010,67,PS
NA,186,9.2,6,4,2010,84,C
NA,220,8.6,6,5,2010,85,PS
NA,264,14.3,6,6,2010,79,C
29,127,9.7,6,7,2010,82,PS
NA,273,6.9,6,8,2010,87,S
71,291,13.8,6,9,2010,90,S
39,323,11.5,6,10,2010,87,S
NA,259,10.9,6,11,2010,93,C
NA,250,9.2,6,12,2010,92,PS
23,148,8,6,13,2010,82,S
NA,332,13.8,6,14,2010,80,S
NA,322,11.5,6,15,2010,79,C
21,191,14.9,6,16,2010,77,PS
37,284,20.7,6,17,2010,72,C
20,37,9.2,6,18,2010,65,PS
12,120,11.5,6,19,2010,73,S
13,137,10.3,6,20,2010,76,S
NA,150,6.3,6,21,2010,77,S
NA,59,1.7,6,22,2010,76,C
NA,91,4.6,6,23,2010,76,PS
NA,250,6.3,6,24,2010,76,S
NA,135,8,6,25,2010,75,C
NA,127,8,6,26,2010,78,PS
NA,47,10.3,6,27,2010,73,C
NA,98,11.5,6,28,2010,80,PS
NA,31,14.9,6,29,2010,77,S
NA,138,8,6,30,2010,83,S
135,269,4.1,7,1,2010,84,S
49,248,9.2,7,2,2010,85,C
32,236,9.2,7,3,2010,81,PS
NA,101,10.9,7,4,2010,84,S
64,175,4.6,7,5,2010,83,S
40,314,10.9,7,6,2010,83,C
77,276,5.1,7,7,2010,88,C
97,267,6.3,7,8,2010,92,PS
97,272,5.7,7,9,2010,92,C
85,175,7.4,7,10,2010,89,PS
NA,139,8.6,7,11,2010,82,S
10,264,14.3,7,12,2010,73,S
27,175,14.9,7,13,2010,81,S
NA,291,14.9,7,14,2010,91,C
7,48,14.3,7,15,2010,80,PS
48,260,6.9,7,16,2010,81,S
35,274,10.3,7,17,2010,82,S
61,285,6.3,7,18,2010,84,C
79,187,5.1,7,19,2010,87,PS
63,220,11.5,7,20,2010,85,C
16,7,6.9,7,21,2010,74,S
NA,258,9.7,7,22,2010,81,S
NA,295,11.5,7,23,2010,82,C
80,294,8.6,7,24,2010,86,PS
108,223,8,7,25,2010,85,PS
20,81,8.6,7,26,2010,82,C
52,82,12,7,27,2010,86,
82,213,7.4,7,28,2010,88,S
50,275,7.4,7,29,2010,86,C
64,253,7.4,7,30,2010,83,PS
59,254,9.2,7,31,2010,81,C
39,83,6.9,8,1,2010,81,PS
9,24,13.8,8,2,2010,81,
16,77,7.4,8,3,2010,82,PS
78,NA,6.9,8,4,2010,86,
35,NA,7.4,8,5,2010,85,S
66,NA,4.6,8,6,2010,87,C
122,255,4,8,7,2010,89,C
89,229,10.3,8,8,2010,90,PS
110,207,8,8,9,2010,90,C
NA,222,8.6,8,10,2010,92,PS
NA,137,11.5,8,11,2010,86,S
44,192,11.5,8,12,2010,86,S
28,273,11.5,8,13,2010,82,S
65,157,9.7,8,14,2010,80,C
NA,64,11.5,8,15,2010,79,C
22,71,10.3,8,16,2010,77,C
59,51,6.3,8,17,2010,79,PS
23,115,7.4,8,18,2010,76,C
31,244,10.9,8,19,2010,78,PS
44,190,10.3,8,20,2010,78,S
21,259,15.5,8,21,2010,77,S
9,36,14.3,8,22,2010,72,C
NA,255,12.6,8,23,2010,75,PS
45,212,9.7,8,24,2010,79,C
168,238,3.4,8,25,2010,81,PS
73,215,8,8,26,2010,86,S
NA,153,5.7,8,27,2010,88,S
76,203,9.7,8,28,2010,97,S
118,225,2.3,8,29,2010,94,S
84,237,6.3,8,30,2010,96,S
85,188,6.3,8,31,2010,94,C
96,167,6.9,9,1,2010,91,C
78,197,5.1,9,2,2010,92,PS
73,183,2.8,9,3,2010,93,C
91,189,4.6,9,4,2010,93,PS
47,95,7.4,9,5,2010,87,S
32,92,15.5,9,6,2010,84,S
20,252,10.9,9,7,2010,80,S
23,220,10.3,9,8,2010,78,C
21,230,10.9,9,9,2010,75,PS
24,259,9.7,9,10,2010,73,C
44,236,14.9,9,11,2010,81,PS
21,259,15.5,9,12,2010,76,S
28,238,6.3,9,13,2010,77,S
9,24,10.9,9,14,2010,71,PS
13,112,11.5,9,15,2010,71,PS
46,237,6.9,9,16,2010,78,S
18,224,13.8,9,17,2010,67,PS
13,27,10.3,9,18,2010,76,S
24,238,10.3,9,19,2010,68,C
16,201,8,9,20,2010,82,PS
13,238,12.6,9,21,2010,64,PS
23,14,9.2,9,22,2010,71,S
36,139,10.3,9,23,2010,81,S
7,49,10.3,9,24,2010,69,C
14,20,16.6,9,25,2010,63,PS
30,193,6.9,9,26,2010,70,C
NA,145,13.2,9,27,2010,77,PS
14,191,14.3,9,28,2010,75,S
18,131,8,9,29,2010,76,PS
20,223,11.5,9,30,2010,68,S
41,190,7.4,5,1,2010,67,C
30,193,6.9,9,26,2010,70,PS
NA,145,13.2,9,27,2010,77,S
14,191,14.3,9,28,2010,75,S
18,131,8,9,29,2010,76,C
